state|district_id|district name|population
OR|5|Congressional District 5 (115th Congress), Oregon|831703.0
PA|1|Congressional District 1 (115th Congress), Pennsylvania|728366.0
PA|2|Congressional District 2 (115th Congress), Pennsylvania|726135.0
PA|3|Congressional District 3 (115th Congress), Pennsylvania|691184.0
PA|4|Congressional District 4 (115th Congress), Pennsylvania|729945.0
PA|5|Congressional District 5 (115th Congress), Pennsylvania|696063.0
PA|6|Congressional District 6 (115th Congress), Pennsylvania|728576.0
PA|7|Congressional District 7 (115th Congress), Pennsylvania|725762.0
PA|8|Congressional District 8 (115th Congress), Pennsylvania|713998.0
PA|9|Congressional District 9 (115th Congress), Pennsylvania|687620.0
PA|10|Congressional District 10 (115th Congress), Pennsylvania|694398.0
PA|11|Congressional District 11 (115th Congress), Pennsylvania|701056.0
PA|12|Congressional District 12 (115th Congress), Pennsylvania|689237.0
PA|13|Congressional District 13 (115th Congress), Pennsylvania|728475.0
PA|14|Congressional District 14 (115th Congress), Pennsylvania|687028.0
PA|15|Congressional District 15 (115th Congress), Pennsylvania|734824.0
PA|16|Congressional District 16 (115th Congress), Pennsylvania|731802.0
PA|17|Congressional District 17 (115th Congress), Pennsylvania|697535.0
PA|18|Congressional District 18 (115th Congress), Pennsylvania|713533.0
RI|1|Congressional District 1 (115th Congress), Rhode Island|539250.0
RI|2|Congressional District 2 (115th Congress), Rhode Island|520389.0
SC|1|Congressional District 1 (115th Congress), South Carolina|782340.0
SC|2|Congressional District 2 (115th Congress), South Carolina|713488.0
SC|3|Congressional District 3 (115th Congress), South Carolina|687378.0
SC|4|Congressional District 4 (115th Congress), South Carolina|731886.0
SC|5|Congressional District 5 (115th Congress), South Carolina|718465.0
SC|6|Congressional District 6 (115th Congress), South Carolina|670725.0
SC|7|Congressional District 7 (115th Congress), South Carolina|720087.0
SD|0|Congressional District (at Large) (115th Congress), South Dakota|869666.0
TN|1|Congressional District 1 (115th Congress), Tennessee|714912.0
TN|2|Congressional District 2 (115th Congress), Tennessee|747673.0
TN|3|Congressional District 3 (115th Congress), Tennessee|733082.0
TN|4|Congressional District 4 (115th Congress), Tennessee|782024.0
TN|5|Congressional District 5 (115th Congress), Tennessee|774096.0
TN|6|Congressional District 6 (115th Congress), Tennessee|772984.0
TN|7|Congressional District 7 (115th Congress), Tennessee|778057.0
TN|8|Congressional District 8 (115th Congress), Tennessee|716130.0
TN|9|Congressional District 9 (115th Congress), Tennessee|697026.0
TX|1|Congressional District 1 (115th Congress), Texas|717376.0
TX|2|Congressional District 2 (115th Congress), Texas|772262.0
TX|3|Congressional District 3 (115th Congress), Texas|870763.0
TX|4|Congressional District 4 (115th Congress), Texas|747188.0
TX|5|Congressional District 5 (115th Congress), Texas|769579.0
TX|6|Congressional District 6 (115th Congress), Texas|792043.0
TX|7|Congressional District 7 (115th Congress), Texas|800081.0
TX|8|Congressional District 8 (115th Congress), Texas|863498.0
TX|9|Congressional District 9 (115th Congress), Texas|789535.0
TX|10|Congressional District 10 (115th Congress), Texas|846261.0
TX|11|Congressional District 11 (115th Congress), Texas|759467.0
TX|12|Congressional District 12 (115th Congress), Texas|806551.0
TX|13|Congressional District 13 (115th Congress), Texas|713480.0
TX|14|Congressional District 14 (115th Congress), Texas|765031.0
TX|15|Congressional District 15 (115th Congress), Texas|790730.0
TX|16|Congressional District 16 (115th Congress), Texas|742384.0
TX|17|Congressional District 17 (115th Congress), Texas|771567.0
TX|18|Congressional District 18 (115th Congress), Texas|800402.0
TX|19|Congressional District 19 (115th Congress), Texas|734202.0
TX|20|Congressional District 20 (115th Congress), Texas|806372.0
TX|21|Congressional District 21 (115th Congress), Texas|809322.0
TX|22|Congressional District 22 (115th Congress), Texas|897080.0
TX|23|Congressional District 23 (115th Congress), Texas|769276.0
TX|24|Congressional District 24 (115th Congress), Texas|800103.0
TX|25|Congressional District 25 (115th Congress), Texas|789825.0
TX|26|Congressional District 26 (115th Congress), Texas|879237.0
TX|27|Congressional District 27 (115th Congress), Texas|740277.0
TX|28|Congressional District 28 (115th Congress), Texas|753502.0
TX|29|Congressional District 29 (115th Congress), Texas|761833.0
TX|30|Congressional District 30 (115th Congress), Texas|774443.0
TX|31|Congressional District 31 (115th Congress), Texas|853799.0
TX|32|Congressional District 32 (115th Congress), Texas|763452.0
TX|33|Congressional District 33 (115th Congress), Texas|753565.0
TX|34|Congressional District 34 (115th Congress), Texas|727595.0
