id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,Pop,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4
6jA8JUuPCGYjFcgw0AoM5,Me Niego,Reik,Reggaeton,0.777,0.779,0,-4.449,0,0.0972,0.0543,0,0.636,0.768,94.023,221653,4
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Ti?sto,Dance/Electronic,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760,4
3Vo4wInECJQuz9BIBMOu8,Finesse (Remix) [feat. Cardi B],Bruno Mars,R&B,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,217289,4
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,Pop,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68E-06,0.12,0.508,102.061,207905,4
52okn5MNA47tk87PeZJLE,Let You Down,NF,Hip-Hop/Rap,0.656,0.721,5,-5.665,0,0.122,0.298,0,0.173,0.468,148.066,212120,4
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,R&B,0.489,0.598,1,-4.929,1,0.036,0.218,0,0.35,0.172,134.045,228373,3
7sO5G9EABYOXQKNPNiE9N,Ric Flair Drip (& Metro Boomin),Offset,Hip-Hop/Rap,0.88,0.428,9,-8.28,1,0.206,0.149,5.07E-05,0.114,0.333,100.007,172800,4
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,Dance/Electronic,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
1mXVgsBdtIVeCLJnSnmtd,Too Good At Goodbyes,Sam Smith,R&B,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4
10Igtw8bSDyyFs7KIsKng,Freaky Friday (feat. Chris Brown),Lil Dicky,Hip-Hop/Rap,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,216632,4
0pqnGHJpmpxLKifKRmU6W,Believer,Imagine Dragons,Pop,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347,4
2E124GmJRnBJuXbTb4cPU,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,Hip-Hop/Rap,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405,4
3KLygy1YWhmrQx0GRs7IO,Rise,Jonas Blue,Dance/Electronic,0.687,0.785,1,-4.65,1,0.0333,0.327,0,0.203,0.655,106.046,194408,4
7K7MUBCnzgBAvMVW2RTWN,Body (feat. brando),Loud Luxury,Dance/Electronic,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,163216,4
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,Hip-Hop/Rap,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,Reggaeton,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93E-05,0.104,0.82,94.014,188560,4
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,Pop,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,Hip-Hop/Rap,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,Hip-Hop/Rap,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,Pop,0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,211360,4
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,Dance/Electronic,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,Pop,0.602,0.658,1,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,197547,4
1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,Pop,0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,220117,4
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,Pop,0.631,0.649,5,-5.892,0,0.0385,0.0817,3.80E-06,0.0934,0.421,93.95,194680,4
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,Pop,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66E-06,0.1,0.419,110.001,199849,4
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Dance/Electronic,0.841,0.798,1,-4.206,0,0.229,0.153,3.33E-06,0.0618,0.591,95.948,212500,4
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Pop,0.663,0.708,8,-4.154,1,0.0473,0.0337,0,0.0841,0.742,103.073,174800,4
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,Alternative/Indie,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,Hip-Hop/Rap,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17E-05,0.111,0.188,100.584,211440,4
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,Hip-Hop/Rap,0.909,0.628,2,-5.456,1,0.201,0.0739,0,0.108,0.406,145.905,276147,4
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,Hip-Hop/Rap,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,Dance/Electronic,0.67,0.654,4,-5.944,1,0.153,0.627,1.02E-06,0.071,0.438,180.024,227533,4
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,Hip-Hop/Rap,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,220293,4
